319,Raciąż,03-02-01,4822936.80
320,Stegna,04-11-00,4822702.80
321,Szczytno,16-07-03,4811324.50
322,Poznań,30-01-02,4810651.00
323,Warszawa,11-01-14,4803039.20
324,Szczecin,18-01-14,4765600.60
325,Łódź,29-08-15,4758706.50
326,Stalowa Wola,25-09-10,4755675.00
327,Przemyśl,22-01-13,4732851.90
328,Złotoryja,16-11-10,4721367.60
329,Łowicz,16-01-16,4699916.20
330,Szczecinek,06-12-00,4698126.90
331,Lidzbark Warmiński,12-05-15,4682526.70
332,Szczecin,30-12-14,4680534.60
333,Kluczbork,29-09-09,4670943.30
334,Przasnysz,29-09-09,4670943.30
335,Nowy Sącz,29-09-09,4670943.30
336,Zawiercie,29-09-09,4670943.30
337,Stanisławów,29-09-09,4670943.30
338,Szczecin,29-09-09,4670943.30
339,Odolanów,29-09-09,4670943.30
340,Choszczno,29-09-09,4670943.30
341,Kraków,31-03-01,4662460.90
342,Wierzchowo,07-10-10,4657672.60
343,Poznań,17-11-01,4643305.90
344,Gliwice,17-11-01,4643305.90
345,Kalisz,17-11-01,4643305.90
346,Pruszcz Gdański  ,19-11-13,4641111.40
347,Rączna,19-11-13,4641111.40
348,Paterek,08-09-15,4636398.50
349,Gubin,04-10-00,4617106.30
350,Szczecin,20-12-14,4609043.90
351,Olsztyn,20-12-14,4609043.90
352,Wrocław,14-07-09,4592446.50
353,Oświęcim,31-05-11,4574917.00
354,Skoczów,23-03-17,4572092.30
355,Płock,01-03-16,4555625.20
356,Warszawa,23-05-13,4534739.90
357,Warszawa,11-08-07,4509600.20
358,Kalisz,21-03-01,4507692.40
359,Elbląg,11-10-14,4483261.60
360,Darłowo,23-01-16,4479304.80
361,Kisielice,18-02-17,4454154.60
362,Sierpc,12-06-02,4425661.30
363,Suwałki,20-09-14,4405225.40
364,Warszawa,21-08-14,4385216.80
365,Olesno,28-06-11,4381532.50
366,Bydgoszcz,25-01-14,4377161.00
367,Warszawa,29-11-07,4376168.20
368,Warszawa,29-11-07,4376168.20
369,Rumia,22-08-07,4356035.10
370,Kiełczewo,24-10-15,4335288.50
371,Łaziska Górne,14-04-07,4310706.70
372,Piła,12-05-07,4232150.30
373,Łódź,23-06-01,4210272.90
374,Cieszyn,12-11-15,4203186.70
375,Gdańsk,21-06-14,4160868.80
376,Pruszcz Gdański,07-11-13,4157130.20
377,Borowo,11-09-08,4073603.60
378,Karczew,11-09-08,4073603.60
379,Radomsko,11-09-08,4073603.60
380,Sława,01-08-01,4070778.00
381,Słubice,07-10-08,4061206.20
382,Bytom,07-10-08,4061206.20
